"cz","Name","Fraction_College_Graduates_in_2012-16"
"cz14900","Gary, IN",0.212
"cz28302","Ogallala, CO & NE",0.212
"cz8702","Statesboro, GA",0.2115
"cz28001","Sioux City, IA & NE & SD",0.2114
"cz34603","Casper, WY",0.211
"cz4002","Shreveport, LA",0.2108
"cz700","Spartanburg, NC & SC",0.2107
"cz28306","North Platte, NE",0.2103
"cz34902","Socorro, NM",0.21
"cz37300","Chico, CA",0.21
"cz23000","Monroe, WI",0.2099
"cz5900","Clarksville, KY & TN",0.2098
"cz7500","Deltona, FL",0.2096
"cz32900","Killeen, TX",0.2096
"cz18300","Watertown, NY",0.2096
"cz1400","Fayetteville, NC",0.2095
"cz28102","Nebraska City, NE",0.2094
"cz17400","Hagerstown, MD & PA & WV",0.2091
"cz29201","Hiawatha, KS",0.2089
"cz29901","Joplin, KS & MO & OK",0.2089
"cz21801","Mason City, IA",0.2087
"cz32501","Abilene, TX",0.2083
"cz28503","Trinidad, CO",0.2083
"cz30502","Enid, OK",0.2076
"cz1100","Hickory, NC",0.2076
"cz16901","Charleston, WV",0.2069
"cz33901","Ada, OK",0.2065
"cz37901","Las Vegas, AZ & NV",0.2065
"cz27001","O'Neill, NE",0.2065
"cz3203","Vicksburg, LA & MS",0.2063
"cz32202","Nacogdoches, TX",0.2055
"cz27004","Winner, SD",0.2052
"cz100","Johnson City, TN & VA",0.205
"cz36404","Rock Springs, UT & WY",0.2049
"cz29008","Center, KS",0.2044
"cz26504","Watertown, SD",0.2036
"cz4001","Magnolia, AR",0.2034
"cz34307","Colstrip, MT",0.2033
"cz9400","Gainesville, GA",0.2031
"cz14300","Columbus, IN",0.203
"cz26804","Cooperstown, ND",0.2027
"cz12002","Ludington, MI",0.2025
"cz30604","Deming, NM",0.2021
"cz38401","Lewiston, ID & WA",0.202
"cz28605","Goodland, KS",0.2019
"cz30602","Alamogordo, NM",0.2018
"cz11900","Saginaw, MI",0.2015
"cz28304","Valentine, NE",0.2014
"cz34602","Rawlins, WY",0.2013
"cz20002","Calais, ME",0.2009
"cz29002","Coldwater, KS",0.2009
"cz34309","Harlowton, MT",0.2008
"cz35701","Twin Falls, ID",0.2007
"cz26407","Plentywood, MT",0.2007
"cz29403","Bartlesville, KS & OK",0.2003
"cz26408","Glasgow, MT",0.2002
"cz1302","Florence, SC",0.2002
"cz27012","Gettysburg, SD",0.1998
"cz26404","Lemmon, ND & SD",0.1998
"cz32801","Waco, TX",0.1994
