SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","24","52","39","96","N/A","N/A","N/A","76","135","211","11.4","24.6","18.5","45.5","N/A","N/A","N/A","36.00","64.00","2092.7000000000000000","20.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","All Students","15","75","111","12","N/A","N/A","N/A","90","123","213","7.0","35.2","52.1","5.6","N/A","N/A","N/A","42.30","57.70","2098.5000000000000000","19.4000000000000000","N/A","2045","2162","2086.00","2097.00","2111.00"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","American Indian or Alaska Native","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Black or African American","15","75","110","12","N/A","N/A","N/A","90","122","212","7.1","35.4","51.9","5.7","N/A","N/A","N/A","42.50","57.50","2098.6000000000000000","19.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Male","6","25","33","3","N/A","N/A","N/A","31","36","67","9.0","37.3","*","<=5%","N/A","N/A","N/A","46.30","53.70","2099.8000000000000000","20.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not English Learners","15","75","109","12","N/A","N/A","N/A","90","121","211","7.1","35.5","51.7","5.7","N/A","N/A","N/A","42.70","57.30","2098.6000000000000000","19.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Female","9","50","78","9","N/A","N/A","N/A","59","87","146","6.2","34.2","53.4","6.2","N/A","N/A","N/A","40.40","59.60","2097.9000000000000000","19.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Economically Disadvantaged","<3","<3","*","<3","N/A","N/A","N/A","<3","*","11","<=50%","<=50%",">=50%","<=50%","N/A","N/A","N/A","<=50%",">=50%","2078.8000000000000000","13.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","All Students","<3","*","13","6","N/A","N/A","N/A","4","19","23","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2080.8000000000000000","15.8000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","<3","*","12","5","N/A","N/A","N/A","4","17","21","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2082.0000000000000000","16.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not English Learners","<3","*","13","6","N/A","N/A","N/A","4","19","23","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2080.8000000000000000","15.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","<3","*","4","12","N/A","N/A","N/A","7","16","23","<=20%","*","<=20%","*","N/A","N/A","N/A","30.40","69.60","2085.9000000000000000","18.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Hispanic of Any Race","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Male","<3","*","4","12","N/A","N/A","N/A","7","16","23","<=20%","*","<=20%","*","N/A","N/A","N/A","30.40","69.60","2085.9000000000000000","18.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not Economically Disadvantaged","<3","*","<3","*","N/A","N/A","N/A","6","6","12","<=50%","<=50%","<=50%","<=50%","N/A","N/A","N/A","<=50%","<=50%","2089.4000000000000000","20.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Black or African American","<3","*","4","12","N/A","N/A","N/A","6","16","22","<=20%","*","<=20%","*","N/A","N/A","N/A","27.30","72.70","2085.2000000000000000","18.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","All Students","<3","*","4","12","N/A","N/A","N/A","7","16","23","<=20%","*","<=20%","*","N/A","N/A","N/A","30.40","69.60","2085.9000000000000000","18.5000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students Without Disabilities","<3","*","4","10","N/A","N/A","N/A","7","14","21","<=20%","*","<=20%","*","N/A","N/A","N/A","33.30","66.70","2087.1000000000000000","18.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not Economically Disadvantaged","<3","3","5","4","N/A","N/A","N/A","3","9","12","<=50%","<=50%","<=50%","<=50%","N/A","N/A","N/A","<=50%",">=50%","2082.6000000000000000","17.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Black or African American","<3","3","13","6","N/A","N/A","N/A","3","19","22","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2079.7000000000000000","15.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Hispanic of Any Race","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Male","<3","*","13","6","N/A","N/A","N/A","4","19","23","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2080.8000000000000000","15.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","<3","<3","*","*","N/A","N/A","N/A","<3","*","11","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2082.0000000000000000","15.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","3","8","44","17","N/A","N/A","N/A","11","61","72","<=5%","*","61.1","23.6","N/A","N/A","N/A","15.30","84.70","2083.1000000000000000","18.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not Economically Disadvantaged","<3","<3","<3","*","N/A","N/A","N/A","<3","*","10","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2072.2000000000000000","21.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Black or African American","<3","*","9","61","N/A","N/A","N/A","7","70","77","<=5%","*","11.7","79.2","N/A","N/A","N/A","9.10","90.90","2073.4000000000000000","17.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Male","<3","*","4","25","N/A","N/A","N/A","6","29","35","<=10%","*","11.4","71.4","N/A","N/A","N/A","17.10","82.90","2077.0000000000000000","20.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Female","<3","<3","*","*","N/A","N/A","N/A","<3","*","42","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2070.4000000000000000","14.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Male","<3","*","20","9","N/A","N/A","N/A","6","29","35","<=10%","*","57.1","25.7","N/A","N/A","N/A","17.10","82.90","2084.3000000000000000","18.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Female","<3","*","30","8","N/A","N/A","N/A","5","38","43","<=10%","<=10%","69.8","18.6","N/A","N/A","N/A","11.60","88.40","2081.9000000000000000","16.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Economically Disadvantaged","<3","*","43","14","N/A","N/A","N/A","10","57","67","<=5%","*","64.2","20.9","N/A","N/A","N/A","14.90","85.10","2082.9000000000000000","17.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not Economically Disadvantaged","<3","<3","*","*","N/A","N/A","N/A","<3","*","11","<=50%","<=50%",">=50%","<=50%","N/A","N/A","N/A","<=50%",">=50%","2083.3000000000000000","19.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","<3","*","7","54","N/A","N/A","N/A","6","61","67","<=5%","*","10.4","80.6","N/A","N/A","N/A","9.00","91.00","2073.6000000000000000","16.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","All Students","3","8","50","17","N/A","N/A","N/A","11","67","78","<=5%","*","64.1","21.8","N/A","N/A","N/A","14.10","85.90","2083.0000000000000000","17.4000000000000000","N/A","2045","2140","2072.00","2080.00","2091.00"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Black or African American","3","8","50","17","N/A","N/A","N/A","11","67","78","<=5%","*","64.1","21.8","N/A","N/A","N/A","14.10","85.90","2083.0000000000000000","17.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not English Learners","3","8","49","17","N/A","N/A","N/A","11","66","77","<=5%","*","63.6","22.1","N/A","N/A","N/A","14.30","85.70","2082.9000000000000000","17.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students Without Disabilities","<3","*","9","55","N/A","N/A","N/A","7","64","71","<=5%","*","12.7","77.5","N/A","N/A","N/A","9.90","90.10","2073.5000000000000000","18.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","<3","*","9","60","N/A","N/A","N/A","7","69","76","<=5%","*","11.8","78.9","N/A","N/A","N/A","9.20","90.80","2073.4000000000000000","17.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","All Students","<3","*","9","61","N/A","N/A","N/A","7","70","77","<=5%","*","11.7","79.2","N/A","N/A","N/A","9.10","90.90","2073.4000000000000000","17.6000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","<3","*","10","46","N/A","N/A","N/A","11","56","67","<=5%","*","14.9","68.7","N/A","N/A","N/A","16.40","83.60","2080.0000000000000000","21.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not Economically Disadvantaged","<3","*","4","14","N/A","N/A","N/A","6","18","24","<=20%","*","<=20%","*","N/A","N/A","N/A","25.00","75.00","2085.0000000000000000","22.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Black or African American","<3","*","14","60","N/A","N/A","N/A","15","74","89","<=5%","*","15.7","67.4","N/A","N/A","N/A","16.90","83.10","2080.3000000000000000","21.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students Without Disabilities","3","14","12","50","N/A","N/A","N/A","17","62","79","<=5%","*","15.2","63.3","N/A","N/A","N/A","21.50","78.50","2083.2000000000000000","21.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","All Students","<3","*","60","17","N/A","N/A","N/A","15","77","92","<=5%","*","65.2","18.5","N/A","N/A","N/A","16.30","83.70","2082.8000000000000000","18.6000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Female","<3","*","41","14","N/A","N/A","N/A","9","55","64","<=5%","*","64.1","21.9","N/A","N/A","N/A","14.10","85.90","2082.3000000000000000","19.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Male","<3","*","19","3","N/A","N/A","N/A","6","22","28","<=20%","*","*","<=20%","N/A","N/A","N/A","21.40","78.60","2083.9000000000000000","16.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Black or African American","<3","*","60","17","N/A","N/A","N/A","13","77","90","<=5%","*","66.7","18.9","N/A","N/A","N/A","14.40","85.60","2081.8000000000000000","17.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","White","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Two or More Races","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not English Learners","<3","*","59","17","N/A","N/A","N/A","15","76","91","<=5%","*","64.8","18.7","N/A","N/A","N/A","16.50","83.50","2082.8000000000000000","18.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","All Students","3","14","14","60","N/A","N/A","N/A","17","74","91","<=5%","*","15.4","65.9","N/A","N/A","N/A","18.70","81.30","2081.3000000000000000","22.0000000000000000","N/A","2037","2144","2068.00","2080.00","2096.00"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Economically Disadvantaged","<3","*","48","12","N/A","N/A","N/A","8","60","68","<=5%","*","70.6","17.6","N/A","N/A","N/A","11.80","88.20","2082.5000000000000000","18.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","White","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Two or More Races","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Male","<3","*","6","16","N/A","N/A","N/A","6","22","28","<=20%","<=20%","21.4","57.1","N/A","N/A","N/A","21.40","78.60","2082.5000000000000000","21.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Female","<3","*","8","44","N/A","N/A","N/A","11","52","63","<=5%","*","12.7","69.8","N/A","N/A","N/A","17.50","82.50","2080.8000000000000000","22.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
